User,Score,Date
Thien,20,10/10/2022
Test,4,10/10/2022
Minh,4,10/10/2022
Luu,18,10/10/2022
Linh,12,10/10/2022
Thien,0,10/10/2022
Thien,20,10/10/2022
Thien,6,11/10/2022
Lionel Messi,22,11/10/2022
